probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.23436648],1,8,6,1,[5.653063],281
[0.27763945],8,5,17,15,[5.969558],282
[0.27298138],1,1,19,16,[5.971469],283
[0.22998956],8,8,19,12,[5.9398136],284
[0.27945763],1,1,1,16,[5.5780334],285
[0.255908],8,8,3,15,[5.8541784],286
[0.28861818],5,8,14,10,[5.974071],287
[0.33214417],1,1,16,19,[5.972425],288
[0.2655018],8,5,14,17,[5.969764],289
[0.34482986],5,1,11,5,[5.538887],290
[0.40080607],1,1,9,16,[5.9712305],291
[0.30852887],1,1,7,12,[5.9334497],292
[0.30596593],1,1,9,2,[5.9759398],293
[0.28917882],5,1,19,5,[5.3715763],294
[0.34576684],5,1,11,5,[5.4284143],295
[0.2966986],5,8,12,5,[5.49323],296
[0.22610462],1,1,12,4,[5.8395624],297
[0.22511531],5,1,12,14,[5.944452],298
[0.27288705],5,5,19,12,[5.941813],299
[0.26794842],8,1,17,3,[5.8481207],300
[0.29982966],5,5,3,9,[5.887689],301
[0.4136073],5,5,9,2,[5.983038],302
[0.37307647],5,5,13,5,[5.2034683],303
[0.52365476],5,5,9,15,[6.0015793],304
[0.552236],5,5,17,9,[5.9833903],305
[0.575779],5,5,5,11,[5.126376],306
[0.46246436],5,5,11,17,[5.9716167],307
[0.3569804],5,5,1,3,[5.6737547],308
[0.29544625],5,5,2,6,[5.98498],309
[0.44482997],5,5,6,1,[5.7848415],310
[0.43541113],3,5,16,3,[5.7682233],311
[0.4033947],8,5,6,8,[5.380854],312
[0.23508354],5,5,13,17,[5.969803],313
[0.609997],5,5,14,9,[6.0082593],314
[0.3208336],5,5,17,11,[5.958785],315
[0.42178532],5,5,13,9,[5.9800477],316
[0.26105008],5,5,12,7,[5.9171877],317
[0.26579884],8,8,2,10,[5.9815445],318
[0.20253202],1,3,6,1,[5.6679854],319
[0.2095354],5,3,14,12,[5.9274197],320
[0.37639865],5,5,4,18,[5.8941197],321
[0.7535737],5,8,8,5,[4.7671766],322
[0.22809833],8,5,8,10,[5.278167],323
[0.2465281],1,1,6,9,[5.9612365],324
[0.34679234],5,5,14,9,[5.982761],325
[0.21493067],8,3,12,8,[5.174322],326
[0.3500559],5,8,18,15,[5.9835916],327
[0.3838617],5,8,17,5,[5.1682987],328
[0.46507156],5,5,19,4,[5.8988247],329
[0.2438458],5,8,14,12,[5.9166865],330
[0.4098298],5,1,5,1,[4.7874455],331
[0.23467095],8,8,13,10,[5.980986],332
[0.40296787],8,8,2,10,[5.9871817],333
[0.46507016],5,5,7,19,[5.989456],334
[0.22738828],5,1,15,4,[5.889762],335
[0.2573052],1,1,16,2,[5.9753275],336
[0.42452636],5,5,4,19,[5.875249],337
[0.3748942],8,1,17,11,[5.9604836],338
[0.42325705],5,5,7,19,[5.987114],339
[0.25774932],1,1,3,19,[5.820751],340
[0.29790166],1,1,3,9,[5.7985535],341
[0.2499632],5,1,15,19,[5.993198],342
[0.2481856],1,1,10,9,[5.956835],343
[0.2747715],5,1,5,9,[5.1237273],344
[0.24929413],8,5,10,18,[5.973197],345
[0.41626674],1,5,15,1,[5.625681],346
[0.28318676],3,1,16,3,[5.709052],347
[0.22116975],8,1,8,6,[5.1726856],348
[0.1948714],3,1,3,4,[5.5694513],349
[0.2627397],5,1,16,14,[5.9762964],350
[0.25787118],8,1,18,7,[5.964675],351
[0.22990824],8,4,18,4,[5.7559624],352
[0.18576114],3,3,12,19,[5.921903],353
[0.24209851],1,5,1,15,[5.5924006],354
[0.30007955],8,3,6,18,[5.980631],355
[0.24027017],3,1,7,13,[5.978822],356
[0.35453406],3,8,17,3,[5.636904],357
[0.25951225],1,3,7,11,[5.96692],358
[0.2964741],3,5,3,14,[5.617982],359
[0.39042896],1,3,1,13,[5.6318016],360
[0.35996905],3,3,6,9,[5.9590797],361
[0.31688783],3,3,10,12,[5.9417048],362
[0.34694695],1,3,7,11,[5.971914],363
[0.42505583],3,3,7,6,[5.981962],364
[0.30872673],5,3,5,19,[5.2395945],365
[0.41093022],8,3,2,8,[5.2897573],366
[0.30481723],8,3,8,9,[5.376901],367
[0.4247904],1,3,16,11,[5.982583],368
[0.26106524],5,3,18,14,[5.9773417],369
[0.32582197],5,3,5,17,[5.223895],370
[0.29979682],1,3,1,17,[5.556573],371
[0.2931921],3,3,13,2,[5.9949923],372
[0.25735652],5,1,19,5,[5.141347],373
[0.35487622],8,3,13,8,[5.179184],374
[0.25386512],1,1,9,11,[5.950999],375
[0.4417158],8,8,10,2,[5.9915476],376
[0.2657894],8,1,2,17,[5.984626],377
[0.26676962],1,1,13,19,[5.9853597],378
[0.2891064],1,1,10,16,[5.9742894],379
[0.3512819],8,1,7,8,[5.147005],380
[0.38702235],5,8,5,2,[5.132872],381
[0.5365533],1,8,1,18,[5.592125],382
[0.28565025],5,5,14,19,[6.0026712],383
[0.3257988],1,3,3,1,[5.134131],384
[0.52800435],3,5,3,15,[5.706629],385
[0.4214663],8,1,7,8,[5.1391773],386
[0.34198916],1,1,1,6,[5.3084173],387
[0.28575924],1,1,14,3,[5.751902],388
[0.31235704],1,1,10,13,[5.9858723],389
[0.45888847],1,1,16,11,[5.9927816],390
[0.36501822],3,5,3,15,[5.6188774],391
[0.39225334],8,1,8,6,[5.091773],392
[0.36604196],5,8,17,5,[5.107906],393
[0.4670157],1,1,7,4,[5.9131002],394
[0.43248495],1,8,18,1,[5.340454],395
[0.33020592],8,1,8,15,[5.1264496],396
[0.41604462],1,1,17,9,[5.9694405],397
[0.35684824],1,1,6,19,[5.9895706],398
[0.376124],5,1,5,4,[5.04511],399
[0.33876044],1,1,19,4,[5.857188],400
[0.3699367],5,8,18,14,[5.9929485],401
[0.42409995],1,3,11,13,[5.9960246],402
[0.47332188],1,1,1,7,[5.2361164],403
[0.30749422],1,1,1,4,[5.1393466],404
[0.5890109],8,3,8,3,[4.5537004],405
[0.32941157],1,1,15,9,[5.9813356],406
[0.4954961],8,5,14,8,[5.1285896],407
[0.43204525],5,8,17,5,[5.111045],408
[0.2418779],8,1,4,18,[5.7502527],409
[0.32404324],4,1,4,19,[5.729748],410
[0.30300182],1,1,9,17,[5.964463],411
[0.367827],8,1,8,9,[5.071575],412
[0.33842283],5,1,5,9,[5.095565],413
[0.24867433],8,8,15,2,[5.993169],414
[0.27262354],3,3,6,9,[5.9659624],415
[0.38559788],8,8,6,2,[5.996651],416
[0.2657608],8,8,2,18,[6.0037117],417
[0.29785284],1,4,11,19,[5.9836597],418
[0.2810605],1,3,1,6,[5.3546553],419
[0.26383534],5,5,7,19,[5.985489],420
[0.33740887],4,5,15,4,[5.5837727],421
[0.3201716],3,4,13,6,[5.992298],422
[0.5158227],5,8,17,14,[5.9902496],423
[0.34095255],4,4,2,9,[5.964307],424
[0.32502016],4,4,6,14,[5.9922743],425
[0.3120291],1,4,1,15,[5.3058543],426
[0.3435481],8,8,2,6,[5.9922376],427
[0.45164147],1,4,9,11,[5.964278],428
[0.4563568],5,1,11,5,[5.150237],429
[0.37234256],1,1,1,7,[5.1969414],430
[0.5299885],5,8,5,18,[5.1539],431
[0.4174755],4,4,4,19,[5.3733997],432
[0.26464728],5,8,5,12,[5.207817],433
[0.42069986],8,4,19,8,[5.0897865],434
[0.4227933],5,1,5,16,[5.197464],435
[0.30074826],4,4,4,10,[5.418171],436
[0.46196055],4,8,4,17,[5.496681],437
[0.39400142],5,8,17,5,[5.086563],438
[0.28121862],4,4,6,2,[5.988536],439
[0.31831682],4,4,2,10,[5.996353],440
[0.34343293],8,4,17,2,[5.9863806],441
[0.30580524],8,3,18,3,[5.690091],442
[0.39447126],3,4,3,18,[5.7157044],443
[0.37092766],1,4,1,17,[5.2178774],444
[0.4239247],4,4,13,19,[6.0032787],445
[0.36819154],5,5,11,18,[5.9879656],446
[0.31865656],5,4,15,2,[6.0000286],447
[0.31655517],1,4,1,17,[5.1869383],448
[0.3912146],5,4,15,10,[6.0027847],449
[0.3826466],5,4,10,5,[5.0708694],450
[0.27719018],3,4,3,2,[5.4186134],451
[0.338118],5,4,15,19,[6.00753],452
[0.21958272],3,3,2,17,[5.9769516],453
[0.64444506],8,3,3,8,[4.5929255],454
[0.366651],5,5,19,7,[5.9957333],455
[0.28423783],1,4,10,11,[5.9896536],456
[0.3034653],1,5,11,19,[5.991951],457
[0.30414638],5,4,17,14,[5.997282],458
[0.43421102],3,3,18,6,[5.991169],459
[0.3959846],5,4,14,10,[6.0055313],460
[0.48226526],3,5,12,15,[5.996217],461
[0.6928346],3,5,14,3,[5.317854],462
[0.53372705],3,1,3,11,[5.272108],463
[0.48744333],4,1,4,11,[5.624175],464
[0.37346724],8,3,18,10,[5.987061],465
[0.3716033],5,4,19,14,[6.006544],466
[0.5848651],5,3,15,9,[5.9884167],467
[0.36391035],3,3,18,11,[5.980741],468
[0.5186145],3,3,17,13,[6.006151],469
[0.4532703],5,3,18,5,[5.0721517],470
[0.7914157],8,3,13,8,[5.1782417],471
[0.4812832],3,3,14,6,[6.0003967],472
[0.6711203],1,3,1,7,[5.3322625],473
