probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.18723896],9,9,2,10,[5.9150524],327
[0.1993572],9,9,10,13,[5.9282637],328
[0.20963106],9,9,17,11,[5.8201714],329
[0.21727563],9,9,8,13,[5.899306],330
[0.22297326],9,9,2,17,[5.934395],331
[0.22741283],9,9,4,15,[5.953351],332
[0.23062555],9,9,4,15,[5.9528112],333
[0.23235448],9,9,3,7,[5.8744154],334
[0.2328732],9,9,4,11,[5.828218],335
[0.23103662],9,9,19,8,[5.910409],336
[0.22818452],9,9,16,5,[5.9388475],337
[0.22447072],9,9,10,18,[5.9423633],338
[0.21990508],9,9,4,11,[5.815727],339
[0.21354939],9,9,11,7,[5.7707644],340
[0.20585002],9,9,14,2,[5.9417853],341
[0.1978413],9,9,16,9,[5.759181],342
[0.19779138],9,9,16,12,[5.866504],343
[0.19654255],9,9,17,6,[5.9477463],344
[0.19777153],11,11,18,3,[5.930688],345
[0.20080298],11,11,19,2,[5.948228],346
[0.20321347],11,11,10,14,[5.9236574],347
[0.20505041],11,11,8,2,[5.8876348],348
[0.20604263],11,11,3,10,[5.875766],349
[0.20598103],11,11,3,7,[5.8721776],350
[0.20464766],11,11,18,5,[5.974104],351
[0.20356862],11,11,19,8,[5.909953],352
[0.20199679],11,11,3,10,[5.8620605],353
[0.19927876],11,11,15,2,[5.927744],354
[0.19679038],11,11,19,1,[5.975952],355
[0.19401728],11,11,5,8,[5.898323],356
[0.19108579],11,11,10,5,[5.900679],357
[0.18766727],11,11,9,4,[5.8235636],358
[0.18308698],11,11,1,13,[5.967298],359
[0.17859271],11,11,18,5,[5.970683],360
[0.17483822],11,11,3,10,[5.827022],361
[0.17022169],11,11,17,11,[5.7953663],362
[0.17008919],11,11,3,5,[5.888404],363
[0.16950008],11,11,18,10,[5.892582],364
[0.16831252],11,11,12,17,[5.8936214],365
[0.16663778],11,11,19,16,[5.937216],366
[0.16481379],11,11,5,16,[5.925296],367
[0.16303779],11,11,4,17,[5.941206],368
[0.16080306],11,11,18,5,[5.965257],369
[0.15888338],11,11,4,5,[5.9429164],370
[0.15690994],11,11,18,12,[5.9219327],371
[0.15497704],11,11,7,2,[5.898658],372
[0.15263182],11,11,17,14,[5.943021],373
[0.15045992],11,11,19,8,[5.9013824],374
[0.14850502],11,11,7,3,[5.8454266],375
[0.14582245],11,11,19,2,[5.937356],376
[0.14350207],11,11,12,9,[5.8107853],377
[0.14080635],11,11,1,15,[5.9643993],378
[0.13860488],11,11,3,7,[5.8377266],379
[0.13572517],11,11,11,14,[5.8396516],380
[0.13609326],11,11,18,1,[5.984099],381
[0.13636042],11,11,5,11,[5.8208976],382
[0.13937955],11,11,17,3,[5.852695],383
[0.14145193],11,11,13,2,[5.930531],384
[0.14324354],11,11,17,2,[5.9102254],385
[0.1446325],11,11,12,17,[5.8783503],386
[0.14547727],11,11,6,7,[5.9152336],387
