probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.38703153],16,2,6,3,[5.962624],371
[0.29653656],2,2,6,4,[5.826222],372
[0.38153654],12,2,19,13,[5.9770107],373
[0.32179168],2,2,18,14,[5.8709397],374
[0.28933132],12,2,2,3,[5.711666],375
[0.41523293],2,2,13,15,[5.9890504],376
[0.81644195],5,12,5,12,[4.3359127],377
[0.9027347],2,1,9,11,[6.0037994],378
[0.41881838],5,2,5,13,[5.068233],379
[0.41450784],2,2,18,10,[5.9824705],380
[0.39850843],5,2,5,11,[5.051799],381
[0.3775878],12,2,17,12,[5.0959034],382
[0.37198254],1,2,1,7,[5.0934668],383
[0.31817204],2,2,7,9,[5.9368153],384
[0.3041765],2,2,15,4,[5.854427],385
[0.758604],16,5,16,14,[5.6511803],386
[0.29109868],12,2,13,10,[5.9829693],387
[0.2006394],5,2,17,5,[5.0310435],388
[0.46811396],12,16,7,3,[5.9271092],389
[0.29496905],12,1,8,12,[5.0586195],390
[0.18701193],5,2,18,14,[5.801354],391
[0.1642391],12,1,19,3,[5.959319],392
[0.20722756],16,4,16,4,[4.9203057],393
[0.2435958],12,12,19,8,[5.973814],394
[0.87058264],5,1,5,9,[5.0652943],395
[0.19479656],16,1,6,10,[6.002702],396
[0.7958141],12,16,12,17,[5.074265],397
[0.9344904],1,16,16,1,[4.363601],398
[0.5881572],1,16,11,15,[6.0067234],399
[0.22039935],16,1,19,17,[5.994671],400
[0.2952768],16,16,19,7,[5.9437203],401
[0.69450796],4,1,4,18,[5.758137],402
[0.62520134],5,1,18,5,[5.051941],403
[0.35208037],5,4,5,4,[4.784538],404
[0.46760383],16,1,6,17,[6.0072017],405
[0.40352392],12,4,19,13,[5.9557323],406
[0.56615376],4,5,10,14,[5.801742],407
[0.71426266],4,5,8,14,[5.768613],408
[0.3104685],12,4,12,17,[5.0439563],409
[0.28917325],4,4,6,8,[5.9924464],410
[0.26436445],4,4,4,3,[5.4971733],411
[0.3581382],5,4,18,5,[5.0303903],412
[0.42043483],5,4,10,5,[5.0383024],413
[0.40267202],4,4,8,19,[5.98875],414
[0.35039982],16,14,16,8,[5.3518343],415
[0.43359554],4,4,7,19,[5.9097323],416
[0.299138],4,4,10,15,[5.9886093],417
[0.35919675],4,5,6,14,[5.7085876],418
[0.30504137],4,4,15,3,[5.955992],419
[0.5316844],1,4,1,18,[5.084562],420
[0.41046497],4,14,6,14,[5.594466],421
[0.5386609],4,4,18,11,[6.001508],422
[0.47904485],1,4,1,10,[5.082168],423
[0.55605483],12,1,3,11,[5.9648185],424
[0.43685356],12,4,18,3,[5.953134],425
[0.6797741],4,12,13,18,[5.974897],426
[0.39704165],5,4,19,5,[5.053644],427
[0.39264712],12,14,3,10,[5.943859],428
[0.2557015],4,4,2,18,[5.9460154],429
[0.46858162],14,14,14,9,[5.293951],430
[0.3900961],5,14,5,19,[5.0609636],431
[0.7987375],16,14,14,16,[4.3482933],432
[0.49934432],12,14,2,19,[5.9528913],433
[0.65469974],16,14,10,17,[6.0113688],434
[0.63722885],14,16,4,15,[5.8518467],435
[0.7705332],14,16,15,18,[6.0079193],436
[0.8837121],14,16,10,15,[6.020642],437
[0.384796],1,14,11,15,[5.9984317],438
[0.6256028],14,14,14,9,[5.1349754],439
[0.7100883],16,14,9,17,[5.9993124],440
[0.6422751],12,14,12,4,[5.383774],441
[0.37949616],14,14,14,19,[5.1405287],442
[0.23790008],14,14,10,8,[5.981249],443
[0.6916261],16,14,6,18,[5.9893713],444
[0.4483404],12,14,3,9,[5.8334064],445
[0.55444306],12,12,10,8,[5.998521],446
[0.24262483],1,12,1,18,[5.0387373],447
[0.94552743],12,16,16,12,[4.253792],448
[0.24610746],16,14,6,10,[5.9851785],449
[0.393271],5,12,18,5,[5.052018],450
[0.2878988],1,1,15,1,[5.0535383],451
[0.41309252],12,12,12,17,[5.0530457],452
[0.627272],12,12,8,7,[6.0049896],453
[0.61839074],1,12,8,1,[5.0727386],454
[0.8962278],12,16,16,2,[5.1407666],455
[0.29305708],16,12,6,11,[5.9951077],456
[0.2817041],12,12,4,12,[4.916836],457
[0.31870404],1,1,9,10,[5.9380674],458
[0.6517162],16,1,16,9,[5.1188116],459
[0.94878805],1,12,11,15,[6.0186505],460
[0.41457883],12,12,8,10,[5.950042],461
[0.46026152],12,1,9,12,[5.0267487],462
[0.15766631],4,3,4,18,[5.5879354],463
[0.17005917],12,4,19,3,[5.8841767],464
[0.8435938],12,16,7,12,[5.0512686],465
[0.17706968],16,4,16,19,[5.0442333],466
[0.6701392],1,12,1,13,[5.069669],467
[0.8174808],14,16,14,7,[5.729348],468
[0.23711082],14,14,9,8,[5.9661655],469
[0.3688664],16,14,16,8,[5.0845456],470
[0.96852285],1,12,1,12,[4.554413],471
[0.57463616],12,14,2,13,[6.0204635],472
[0.5391584],14,14,10,8,[5.972042],473
[0.16206573],4,12,17,13,[5.9788294],474
[0.5931887],4,14,4,2,[5.6105394],475
[0.5550607],5,14,18,5,[5.035676],476
[0.49220103],1,1,15,18,[5.995106],477
[0.5857422],14,14,4,8,[5.710085],478
[0.4583462],1,1,3,18,[5.8780394],479
[0.69707185],14,1,4,9,[5.6618624],480
[0.3536114],14,14,8,7,[5.9844284],481
[0.28581244],1,4,1,8,[5.039074],482
[0.46449968],1,4,1,8,[5.0407515],483
[0.80970603],12,16,16,12,[4.4289083],484
[0.7365799],4,4,17,2,[6.0028667],485
[0.63396865],16,4,3,16,[5.11323],486
[0.7866219],5,4,5,2,[5.0375147],487
[0.8729243],16,4,16,4,[4.459076],488
[0.64223725],4,4,8,19,[6.00002],489
[0.5069315],4,4,19,15,[5.9814253],490
[0.82889354],12,4,4,12,[4.2456093],491
[0.55495596],16,4,7,9,[5.998441],492
[0.5816528],16,16,11,9,[5.9922643],493
[0.39043978],16,4,17,9,[6.0098658],494
[0.43536],5,16,10,5,[5.0295334],495
[0.6956805],12,4,4,3,[5.2597113],496
[0.69340247],16,5,15,9,[5.999971],497
[0.4020742],16,16,11,19,[5.9950943],498
[0.8347164],12,4,2,4,[5.179267],499
[0.38009784],4,4,4,9,[5.153709],500
[0.64634913],1,4,1,18,[5.021919],501
[0.51076245],1,4,19,1,[5.036793],502
[0.5821762],4,4,4,8,[5.100627],503
[0.89281076],4,5,14,10,[5.932425],504
[0.9340443],4,5,14,17,[5.939105],505
[0.7068907],4,4,11,18,[5.98341],506
[0.78382254],12,4,2,8,[6.0198345],507
[0.7233716],12,4,2,7,[6.0149097],508
[0.52967757],4,5,6,14,[5.90104],509
[0.62078923],1,12,15,11,[6.01249],510
[0.46197146],4,4,6,8,[5.991152],511
[0.7409837],12,4,19,12,[5.045587],512
[0.7578391],12,4,15,13,[6.01105],513
[0.5382925],4,4,10,9,[5.9631376],514
[0.56891584],4,4,8,7,[5.9805307],515
[0.7430682],12,4,13,7,[6.000763],516
[0.4203987],12,4,9,12,[5.023253],517
[0.26621026],12,4,7,12,[5.0179586],518
[0.33054027],12,4,10,2,[5.952833],519
[0.22717988],4,4,11,18,[5.841508],520
[0.31211266],12,4,12,18,[4.8831797],521
[0.8928273],1,4,4,1,[4.1805935],522
[0.41077822],1,5,14,1,[4.6500807],523
[0.4032602],16,4,7,13,[5.9783945],524
[0.9489075],1,5,5,1,[4.249219],525
[0.97303414],1,12,12,1,[4.112461],526
[0.61975217],1,1,6,9,[5.979185],527
[0.6877072],12,16,7,2,[5.9751434],528
[0.58716255],1,16,1,7,[5.0349894],529
[0.46593717],1,1,3,15,[5.945766],530
[0.49245566],12,1,10,12,[5.033597],531
[0.29088056],16,18,19,7,[5.9808373],532
[0.34191063],16,14,7,15,[5.9959607],533
[0.5700563],4,1,14,6,[5.921086],534
[0.36750484],16,4,18,7,[5.6407],535
[0.95542103],12,16,16,12,[4.1189427],536
[0.33470556],18,18,2,15,[5.964912],537
[0.36359647],14,18,9,5,[5.7894974],538
[0.39347017],18,18,11,10,[5.984544],539
[0.48407704],4,18,4,2,[5.2405124],540
[0.4125395],4,1,6,14,[5.824856],541
[0.5036997],12,18,10,12,[5.0183706],542
[0.48210347],18,18,11,19,[5.9945326],543
[0.38480303],1,18,2,1,[5.0133667],544
[0.5176315],1,18,1,8,[5.0364666],545
[0.37954167],1,18,10,1,[4.998985],546
